,Solution,Rows,Cols,Threads,Time (s),Speedup,Efficiency
282,Thread Pool API,40,100000,48.0,69.184612,6.237584218872255,0.1299496712265053
283,Parallel,40,100000,64.0,69.262563,6.230564179382158,0.09735256530284622
284,Thread Pool API,40,100000,64.0,69.37377,6.220576508960088,0.09719650795250137
285,Parallel,50,100000,32.0,86.990634,6.199951847689719,0.19374849524030371
286,Thread Pool API,50,100000,32.0,87.265954,6.180391289826501,0.19313722780707815
287,Parallel,50,100000,48.0,93.878524,5.745059881853277,0.11968874753860993
288,Thread Pool API,50,100000,48.0,93.327191,5.778998984336731,0.1203958121736819
289,Parallel,50,100000,64.0,86.384642,6.2434447780659905,0.0975538246572811
290,Thread Pool API,50,100000,64.0,86.583049,6.229137784233032,0.09733027787864112
291,Parallel,60,100000,32.0,104.128592,6.219668407693441,0.19436463774042004
292,Thread Pool API,60,100000,32.0,104.162626,6.217636198995213,0.1943011312186004
293,Parallel,60,100000,48.0,104.27434,6.21097495318599,0.12939531152470812
294,Thread Pool API,60,100000,48.0,103.97119,6.229084364620622,0.12977259092959628
295,Parallel,60,100000,64.0,103.971278,6.229079092400884,0.09732936081876381
296,Thread Pool API,60,100000,64.0,103.995406,6.227633882212066,0.09730677940956353
297,Parallel,70,100000,32.0,123.677475,6.1061882691249965,0.19081838341015614
298,Thread Pool API,70,100000,32.0,122.617782,6.158959448475426,0.19246748276485706
299,Parallel,70,100000,48.0,121.779064,6.201377496217248,0.12919536450452598
300,Thread Pool API,70,100000,48.0,121.482875,6.216497156492221,0.12951035742692127
301,Parallel,70,100000,64.0,122.336721,6.173109274360884,0.09645483241188882
302,Thread Pool API,70,100000,64.0,122.782545,6.150694685470154,0.09610460446047116
303,Parallel,80,100000,32.0,138.726907,6.221057750534292,0.19440805470419661
304,Thread Pool API,80,100000,32.0,138.776995,6.218812419162124,0.19433788809881639
305,Parallel,80,100000,48.0,139.002176,6.208738056014318,0.12934870950029828
306,Thread Pool API,80,100000,48.0,138.734373,6.220722963875722,0.1295983950807442
307,Parallel,80,100000,64.0,139.061535,6.206087830110605,0.09697012234547821
308,Thread Pool API,80,100000,64.0,138.850636,6.215514201893897,0.09711740940459214
309,Parallel,90,100000,32.0,156.269831,6.217812656366154,0.1943066455114423
310,Thread Pool API,90,100000,32.0,156.068028,6.225852568599124,0.19455789276872262
311,Parallel,90,100000,48.0,156.061319,6.226120214964991,0.12971083781177065
312,Thread Pool API,90,100000,48.0,155.976078,6.22952279259131,0.12978172484565229
313,Parallel,90,100000,64.0,156.155984,6.222345811608475,0.09722415330638243
314,Thread Pool API,90,100000,64.0,155.976878,6.229490841584866,0.09733579439976353
315,Parallel,100,100000,32.0,178.190698,6.0539178201097785,0.18918493187843058
316,Thread Pool API,100,100000,32.0,176.383562,6.115943173888278,0.19112322418400868
317,Parallel,100,100000,48.0,177.372577,6.081841174354702,0.12670502446572296
318,Thread Pool API,100,100000,48.0,176.838089,6.1002233630787535,0.12708798673080737
